category,prompt
Graduate Students in Lab at Midnight,<|im_start|>parent1
Graduate Students in Lab at Midnight,<|im_start|>parent1
Graduate Students in Lab at Midnight,<|im_start|>parent1
Graduate Students in Lab at Midnight,<|im_start|>parent1
Graduate Students in Lab at Midnight,<|im_start|>parent1
Graduate Students in Lab at Midnight,<|im_start|>parent1
Graduate Students in Lab at Midnight,<|im_start|>parent1
Graduate Students in Lab at Midnight,<|im_start|>parent1
Graduate Students in Lab at Midnight,<|im_start|>parent1
Graduate Students in Lab at Midnight,<|im_start|>parent1
Graduate Students in Lab at Midnight,<|im_start|>parent1
Graduate Students in Lab at Midnight,<|im_start|>parent1
Retail Workers During Break,<|im_start|>bartender1
Retail Workers During Break,<|im_start|>bartender2
Retail Workers During Break,<|im_start|>bartender1
Retail Workers During Break,<|im_start|>bartender2
Retail Workers During Break,<|im_start|>bartender1
Retail Workers During Break,<|im_start|>bartender2
Retail Workers During Break,<|im_start|>bartender1
Retail Workers During Break,<|im_start|>bartender2
Retail Workers During Break,<|im_start|>bartender1
Retail Workers During Break,<|im_start|>bartender2
Retail Workers During Break,<|im_start|>bartender1
Retail Workers During Break,<|im_start|>bartender2
Retail Workers During Break,<|im_start|>bartender1
Retail Workers During Break,<|im_start|>bartender2
Retail Workers During Break,<|im_start|>bartender1
Retail Workers During Break,<|im_start|>bartender2
Retail Workers During Break,<|im_start|>bartender1
Retail Workers During Break,<|im_start|>bartender2
Retail Workers During Break,<|im_start|>bartender1
Retail Workers During Break,<|im_start|>bartender2
Construction Workers at Lunch,<|im_start|>student1
Construction Workers at Lunch,<|im_start|>student2
Construction Workers at Lunch,<|im_start|>student1
Construction Workers at Lunch,<|im_start|>student2
Construction Workers at Lunch,<|im_start|>student1
Construction Workers at Lunch,<|im_start|>student2
Construction Workers at Lunch,<|im_start|>student1
Construction Workers at Lunch,<|im_start|>student2
Construction Workers at Lunch,<|im_start|>student1
Construction Workers at Lunch,<|im_start|>student2
Construction Workers at Lunch,<|im_start|>student1
Construction Workers at Lunch,<|im_start|>student2
Construction Workers at Lunch,<|im_start|>student1
Construction Workers at Lunch,<|im_start|>student2
Construction Workers at Lunch,<|im_start|>student1
Construction Workers at Lunch,<|im_start|>student2
Construction Workers at Lunch,<|im_start|>student1
Construction Workers at Lunch,<|im_start|>student2
Construction Workers at Lunch,<|im_start|>student1
Construction Workers at Lunch,<|im_start|>student2
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Dog Park Regulars,<|im_start|>employee1
Night Security Guards,My back's killin' me. Think I'm gonna be able to do this when I'm 50? What's your plan for the future?
Night Security Guards,Saw some suits takin' pictures of the site this mornin'. Probably gonna claim credit for our work. What bugs you most about those office types?
Night Security Guards,This concrete's gonna be here for a hundred years. Bet half those computers they use will be obsolete next Tuesday. You ever feel like you're building something that actually matters?
Night Security Guards,"Boss said overtime's cuttin' back. How many hours you need to make ends meet these days, really?"
Night Security Guards,"Heard they're bringin' in that new robotic arm for the rebar. Think it'll actually help, or just take our jobs?"
Night Security Guards,"Remember old man Johnson? Dude could lay brick blindfolded. Think they even teach skills like that anymore, or is it all about fancy certifications now?"
Night Security Guards,This sandwich is drier than the Sahara. What's the worst lunch you ever had on a job site?
Night Security Guards,My kid wants to go to college. I want him to have a better life than this. But is a degree really worth it anymore?
Night Security Guards,"That inspector's been breathin' down our necks all mornin'. You think he actually knows what he's talkin' about, or is he just lookin' for something to complain about?"
Night Security Guards,Ever think about quittin' and doin' something else? What would it be?
Night Security Guards,My wife's been on my case about takin' better care of myself. Hard to do when you're bustin' your ass all day. You got any secrets to keepin' yourself healthy?
Night Security Guards,"These new safety regulations are gettin' ridiculous. Think they actually make us safer, or just slow us down?"
Night Security Guards,"Heard they're gonna unionize this site. You think it'll make a difference, or just more dues outta our pockets?"
Night Security Guards,That crane operator's been lookin' a little shaky lately. You ever work with someone you didn't trust?
Night Security Guards,This heat's brutal. What's the worst weather you ever had to work in?
Night Security Guards,Saw some protestors outside this mornin' complaining about the project. You ever feel like the work you're doing is hurting someone else?
Night Security Guards,"My old man always said, 'Measure twice, cut once.' What's the best piece of advice you ever got on the job?"
Night Security Guards,"This job's behind schedule. You think they'll actually pay us overtime to catch up, or just expect us to work harder for the same money?"
Night Security Guards,You ever look at something you built and just feel proud? What was it?
Night Security Guards,Beer after work tonight? Or are we all too beat up?
Freelancers at Coffee Shop,"Honestly, if Sparky wasn't such a social butterfly, I'd probably never leave the house before noon."
Freelancers at Coffee Shop,Do you ever wonder if we're all just projecting our anxieties onto these dogs?
Freelancers at Coffee Shop,"I swear, Brenda judges my dog's breed more than she judges my parenting skills."
Freelancers at Coffee Shop,"Another day, another mountain of poop bags. Sometimes I feel like I'm just a professional dog waste removal service."
Freelancers at Coffee Shop,"Between vet bills and organic dog food, I'm pretty sure my dog lives better than I do."
Freelancers at Coffee Shop,"Be honest, do you ever feel judged by the other dog owners for not letting your dog off-leash?"
Freelancers at Coffee Shop,"I think my dog has more friends than I do. Sad, isn't it?"
Freelancers at Coffee Shop,"This whole dog park thing is just a manufactured community, isn't it? We're all just lonely."
Freelancers at Coffee Shop,"Does anyone else feel like they're in a weird suburban soap opera, but with dogs?"
Freelancers at Coffee Shop,I'm convinced some people use their dogs to avoid actual human interaction.
Freelancers at Coffee Shop,My dog's eating habits are better than mine. I'm seriously considering switching to kibble.
Freelancers at Coffee Shop,Do you ever feel like your dog is your only real friend?
Freelancers at Coffee Shop,I saw Sarah buying a dog birthday cake. Seriously? A cake?
Freelancers at Coffee Shop,My dog's separation anxiety is worse than mine. I think I'm enabling him.
Freelancers at Coffee Shop,I'm pretty sure my dog knows more about my personal life than my own mother.
Freelancers at Coffee Shop,Sometimes I think my dog is smarter than half the people I know.
Freelancers at Coffee Shop,"Between the grooming and the toys, I spend more on my dog than I do on myself. Is that normal?"
Freelancers at Coffee Shop,Do you think our dogs talk about us when we're not around?
Freelancers at Coffee Shop,"I'm starting to think I should get a second dog, just so I have someone to talk to besides you guys."" (said jokingly, but with a hint of truth)"
Freelancers at Coffee Shop,"Honestly, I'm starting to think my dog is judging *me*."
Commuters on Delayed Train,Ever feel like we're the only two people who exist after midnight?
Commuters on Delayed Train,What's the weirdest thing you've seen on the monitors besides someone breaking in?
Commuters on Delayed Train,"If you could be doing anything else right now, no matter how unrealistic, what would it be?"
Commuters on Delayed Train,Do you ever walk through these empty offices and wonder what everyone *really* does all day?
Commuters on Delayed Train,"Be honest, how often do you actually check all the doors and windows?"
Commuters on Delayed Train,What's the one thing that keeps you coming back to this job?
Commuters on Delayed Train,Do you ever feel like you're invisible to the people who work here during the day?
Commuters on Delayed Train,What's the most profound thought you've had while staring at a blank screen?
Commuters on Delayed Train,"If you won the lottery, would you even bother giving two weeks' notice?"
Commuters on Delayed Train,Do you think any of these executives even know our names?
Commuters on Delayed Train,What's the one thing you miss most about daytime life?
Commuters on Delayed Train,Do you ever feel like you're wasting your life away in this job?
Commuters on Delayed Train,What's the most relatable thing you've ever overheard someone saying in the elevator after hours?
Commuters on Delayed Train,What's your go-to coping mechanism for dealing with the boredom?
Commuters on Delayed Train,What's the one question you'd ask your boss if you knew you wouldn't get fired?
Commuters on Delayed Train,Do you ever worry about the health effects of working nights?
Commuters on Delayed Train,What's the weirdest dream you've had recently?
Commuters on Delayed Train,Do you think this building is haunted? Be honest.
Commuters on Delayed Train,"If you could change one thing about this job, what would it be?"
Commuters on Delayed Train,"What's the one thing you're secretly proud of, even though it has nothing to do with this job?"
